id	name	idmatch	namematch
1180	Bori Bálint	10174	BORI BÁLINT
324	feLugossy László	15748	felugossy László
290	Bozsogi Nóra	9179	BOZSOGI Nóra
207	feLugossy László	15748	felugossy László
113	Nemes Judith	17420	NEMES Judith
69	Ferencz István	2397	FERENCZ ISTVÁN
45	Előd Ágnes	15211	ELŐD Ágnes
45	Előd Ágnes	2720	Előd ágnes
35	Kisspál Szabolcs	12204	KISSPÁL Szabolcs
35	Kisspál Szabolcs	8269	KIssPál Szabolcs
24697	antalaci	21778	Antalaci
24329	Vető János	16351	VETŐ János
24327	Alexander Tinei	4359	Alexander TINEI
24321	Minyó Szert Károly	9608	MINYÓ Szert Károly
24320	MARJAI JUDIT	4596	Marjai Judit
24319	Maurer Dóra	9872	Maurer dóra
24316	Kis Róka Csaba	16342	KIS RÓKA Csaba
24309	Braun András	9180	BRAUN András
23911	Hajdu István	8751	HAJDU István
23911	Hajdu István	5172	HAJDU ISTVÁN
23567	Varga Ferenc	5245	Varga ferenc
23567	Varga Ferenc	14962	VARGA Ferenc
22534	Murányi Kristóf	9421	Murányi kristóf
22386	W. Horváth Tibor	23061	w. Horváth Tibor
21921	Bori Om	15771	BORI OM
21228	José Heerkens	15461	José HEERKENS
20981	Botka Ildikó	11939	botka ildikó
20791	Pézman Andrea	15991	PÉZMAN Andrea
20790	Lux Antal	23813	LUX Antal
20653	BaJóTa	23651	Bajóta
20624	Reinhard Roy	14341	Reinhard ROY
20195	Randomroutines	17266	randomroutines
19857	Bánki Ákos	17385	Bánki ÁKos
19857	Bánki Ákos	11474	BÁNKI Ákos
19823	Dejan Sluga	10012	DEJAN SLUGA
19823	Dejan Sluga	8316	Dejan SLUGA
19454	Tóth Krisztina	10303	TÓTH Krisztina
18759	Szirmay Zsanett	15995	SZIRMAY Zsanett
18365	Kernács Gabriella	17506	KERNÁCS GABRIELLA
17801	ifj. Koffán Károly	23807	Ifj. Koffán Károly
17801	ifj. Koffán Károly	21584	Ifj. Koffán Károly
17801	ifj. Koffán Károly	15982	ifj. KOFFÁN Károly
17212	Farkas István	15213	FARKAS István
16747	Tóth EGO(n) István	12767	Tóth Ego(n) István
16403	ifj. Kurtág György	19468	Ifj. Kurtág György
16341	Horváth Tibor	2756	HORVÁTH TIBOR
16341	Horváth Tibor	1373	Horváth tibor
16276	Block-csoport	3438	BLOCK-CSOPORT
15987	Lux Antal	23813	LUX Antal
15985	Kováts Borbála	5275	kováts borbála
15868	Maurer Dóra	9872	Maurer dóra
15861	Erőss István	8797	ERŐSS István
15453	Benedek Barna	8575	BENEDEK BARNA
15228	Radu Comşa	19331	Radu ComŞa
15212	Fajó János	7059	FAJÓ JÁNOS
15015	Esteban de la Torre	10946	Esteban De LA Torre
14928	Barcsay Jenő	9937	BARCSAY JENŐ
14734	Gerardo Nolasco Magaña	16369	Gerardo NOLASCO MAGAÑA
14516	Vera Nimova	16643	VERA NIMOVA
14413	Gábor Márton Dániel	15976	GÁBOR Márton Dániel
14296	Dr. Szeifert Judit	23552	dr. Szeifert Judit
14081	Darvas Angéla	12678	DARVAS Angéla
14034	BaJóTa	23651	Bajóta
14028	Vécsei Júlia	14963	VÉCSEI Júlia
13959	Koronczi Endre	1372	koronczi Endre
13898	Roskó Gábor	13788	ROSKÓ GÁBOR
13829	Mednyánszky László	14945	MEDNYÁNSZKY László
13628	RYBN.org	13631	RYBN.ORG
12531	Horányi Attila	22092	HORÁNYI Attila
12477	Réthey-Prikkel Tamás	16633	RÉTHEY-PRIKKEL Tamás
12470	Bársony István	16738	BÁRSONY ISTVÁN
12456	Horányi Attila	22092	HORÁNYI Attila
12442	Dr. Hoffmann Tamás	9840	dr. Hoffmann Tamás
12408	Forián Szabó Noémi	13641	Forián szabó Noémi
